05/03/1963,Kitchener,Ontario,N2B,,2001 SN2 MOOSE  2000 SN1 MOOSE  2000 SN2 WAVES  1999 SN1 TIGER  1998 SN1 MOOSE  1997 SN1 SHAGGY  1996 SN1 SHAGGY
27/08/1970,,Ontario,,,2000 SN1 MOOSE;NAS  1999 SN1 MUFASSA:RAMBO  1998 SN1 MOOSE  1997 SN1 SHAGGY
16/09/1970,Toronto,Ontario,M5S,,1996 SN2 SHAGGY
09/07/1971,Wingham,Ontario,N0G,,1990 VO2 GILLIGAN  1989 RA3 HIGHLANDER
11/04/1972,Scarborough,Ontario,M1J,,1992 SN1 SN  1989 SN3 SN
24/04/1972,Toronto,Ontario,M5R,,1996 SN1 SHAGGY
15/07/1972,Kichener,Ontario,N2K,,1996 SN3 SHAGGY  1992 SN2 MOUNTAINEERS  1991 SN2 BADGER  1990 SN2 BADGER  1989 SN2 KARHU
07/07/1973,Islington,Ontario,M9A,,1990 SN3 MOUNTAINEERS  1989 SN3 SN
22/08/1973,Kitchener,Ontario,N2B,,1996 SN3 SHAGGY
06/09/1973,Toronto,Ontario,M4S,,1991 SN4 MOUNTAINEERS  1990 SN1 BADGER  1989 VO1 SKINNER
15/10/1973,,Ontario,,,1995 RA2 VADER;WINDY  1994 SN1  1994 VO2SN RANCE  1993 SN2 DRAGON  1992 SN1 SN  1991 SN1 DUKE
21/12/1973,,Ontario,,,1998 SN1 MOOSE  1997 SN3 SHAGGY
23/01/1974,,Ontario,,,1995 VO2SN SMURF;ACTAR  1994 SN1  1994 VO2SN FAX  1993 SN2 DRAGON  1992 SN1 SN  1991 SN1 DRAGON
25/01/1974,Markham,Ontario,L3P,,1990 VO4 FISH
21/02/1974,Toronto,Ontario,M6N,,1994 SN3 MOUNTAINEERS  1993 SN3 DRAGON  1992 SN3 MOUNTAINEERS  1991 SN3 MOUNTAINEERS  1990 SN3 MOUNTAINEERS
02/04/1974,Georgetown,Ontario,L7G,,1989 VO1 CHESTER
03/05/1974,West Hill,Ontario,M1E,,1993 SN3 DRAGON  1992 SN3 DRAGON
21/05/1974,Oakville,Ontario,L6H,,1997 SN3 SHAGGY  1995 SN3 MOUNTAINEERS  1994 SN3 MOUNTAINEERS  1993 SN3 DRAGON  1992 SN3 MOUNTAINEERS  1991 SN3 MOUNTAINEERS  1990 SN3 MOUNTAINEERS  1989 SN3 SN
30/05/1974,Niagara Falls,Ontario,L2E,,1989 VO2 JORDAN
04/06/1974,Welland,Ontario,L3C,,1989 VO1 SQUFF
08/06/1974,Selby,Ontario,K0K,,1990 SN2 BADGER  1989 SN2 KARHU
09/06/1974,Niagara on the Lake,Ontario,L0S,,1989 VO2 JORDAN
10/06/1974,,,,The Netherlands,1990 VO1 SQUIRE
01/07/1974,Markham,Ontario,L3P,,1990 VO3 OLERUD  1989 VO3 CHESTER
26/07/1974,Willowdale,Ontario,M2J,,1990 WC12 SKIP;BLITZ;FLIP-FLOP
01/09/1974,,Ohio,,United States,1991 SN2 BADGER  1990 SN1 BADGER
06/09/1974,Etobicoke,Ontario,M9B,,1990 VO3 DRAGTMAN  1989 VO3 CHOPPER
14/09/1974,Ottawa,Ontario,K1K,,1990 VO4 GILLIGAN
